页面排名,接口名称,二级分类,页面展示调用量,估算调用次数,功能说明
23,策略大类资产分布,策略数据,2.7万,27000,穿透投顾策略组合并分析底层大类资产结构
24,回测分析,测算能力,2.6万,26000,回测基金或基金组合的历史表现与风险特征
25,财务状况分析,投资顾问,2.3万,23000,计算家庭核心财务健康指标并形成诊断结果
26,策略风险,策略数据,2.2万,22000,获取单个投顾策略的风险等级画像与持有建议
27,批量查询策略持仓,策略数据,2.2万,22000,批量获取多个投顾策略的底层持仓组成明细
28,投后风险分析,投后诊断,2.0万,20000,评估基金组合整体风险水平及波动回撤特征
29,实时资讯AI解读,盈米生产,2.0万,20000,提炼实时财经资讯并生成结构化AI解读摘要
30,ECharts图表渲染,常用工具,1.8万,18000,将ECharts图表配置渲染为可展示图像
31,HTML转PDF,常用工具,1.6万,16000,将HTML内容高质量渲染并导出为PDF文档
32,账户诊断,投资顾问,1.6万,16000,对基金组合进行穿透式综合诊断与风险评估
33,基金换手率（调仓频率）,基金数据,1.6万,16000,计算基金在指定区间内的实际持仓换手率
34,资产配置分析,投后诊断,1.5万,15000,穿透基金组合底层并分析大类资产配置比例
35,基金相关性分析,投后诊断,1.4万,14000,计算多只基金之间的收益相关性与联动关系
36,基金业绩基准,基金数据,1.4万,14000,查询基金法定业绩比较基准及指数构成权重
37,查询策略业绩基准,策略数据,1.3万,13000,查询投顾策略官方业绩基准及其指数权重构成
38,组合历史净值,策略数据,1.3万,13000,获取投顾策略历史净值走势及收益变化轨迹
39,Brinson归因,基金数据,1.2万,12000,基于Brinson模型拆解基金超额收益来源
40,获取基金投资方案,投资顾问,1.2万,12000,按配置目标生成对应的底层基金组合方案
41,组合预期收益测算（蒙特卡洛）,测算能力,1.2万,12000,模拟组合未来收益路径及概率分布区间表现
42,资产大类分布,基金数据,1.1万,11000,穿透基金组合表层并分析底层大类资产结构
43,交易日查询,常用工具,1.1万,11000,计算指定区间内的有效交易日
44,估值盈利指标（市盈率/市净率/净资产收益率）,基金数据,1.1万,11000,穿透基金持仓并输出九大股票指标
45,回撤修复能力,基金数据,7427,7427,评估基金回撤后的净值修复能力
46,策略风险匹配,投资顾问,7336,7336,批量获取多个投顾策略的风险画像与持有建议
47,基金行业持仓集中度,基金数据,6660,6660,计算基金前N大行业合计占比与集中度水平
48,债基风险,基金数据,6169,6169,提取债基久期杠杆率集中度等核心风险指标
49,行业收益,基金数据,5145,5145,拆解基金收益在不同行业层面的具体贡献来源
50,基金行业偏好,基金数据,4014,4014,提取基金经理长期稳定偏好的重点行业方向
51,Campisi归因,基金数据,3994,3994,基于Campisi模型拆解债基收益结构来源
52,券种配置情况,基金数据,3923,3923,解析债基底层券种配置比例及主要收益来源
53,基金板块偏好,基金数据,3814,3814,解析基金特定周期的板块配置偏好
54,按重仓基金筛选投顾策略,投前分析,2714,2714,反向检索重仓持有某只基金的投顾策略列表
55,策略交易成分,策略数据,2381,2381,获取策略实际交易成分及对应配置比例信息
56,权益仓位择时,基金数据,2144,2144,评估基金经理的市场择时胜率与收益贡献表现
57,QDII地区配置,基金数据,1818,1818,解析QDII基金的全球地区配置分布
58,投资方案表现分析,投资顾问,1702,1702,测算投资方案对目标收益或目标达成的可行性
59,基金拆分记录,基金数据,1676,1676,获取基金历史拆分折算记录及相关时间节点
60,家庭结构分析,投资顾问,1365,1365,识别家庭成员结构及所处生命周期阶段特征
61,现金流分析与财务规划,投资顾问,1290,1290,预测家庭未来跨周期现金流变化与资金缺口
62,债基异动,基金数据,1215,1215,统计基金在指定周期内的净值异常跳水次数
63,债基评级查询,基金数据,1143,1143,拆解债券基金底层持仓的信用评级结构分布
64,资产负债分析,投资顾问,1047,1047,分析家庭资产负债结构及整体偿债压力水平
65,收入支出分析接口,投资顾问,720,720,分析家庭收入支出结构及结余变化情况
66,查询发生净值异动的债基,投前分析,635,635,检索近期触发净值跳水或异动告警的债基产品
67,券种风格筛选基金,投前分析,504,504,按券种占比条件筛选债券基金
68,根据信用评级筛选基金,投前分析,475,475,按信用评级占比条件筛选符合要求的债券基金
69,股票换手率筛选基金,投前分析,388,388,按股票换手率筛选权益基金
